CAGDP1 County and MSA gross domestic product (GDP) summary
CAGDP1 County and MSA gross domestic product (GDP) summary
Metropolitan Statistical Area
GeoFips,GeoName,2017,2018,2019,2020,2021,2022
20260,"Duluth, MN-WI (Metropolitan Statistical Area)",13554938,14262706,14891535,14409466,15688492,16821506
20500,"Durham-Chapel Hill, NC (Metropolitan Statistical Area)",46431099,49617704,51857199,54411216,59452365,63949634
20700,"East Stroudsburg, PA (Metropolitan Statistical Area)",7597383,7852706,8614107,8335744,9364423,10008711
20740,"Eau Claire, WI (Metropolitan Statistical Area)",8949759,9308969,9693201,9424011,10097906,10838571
20940,"El Centro, CA (Metropolitan Statistical Area)",8039122,8099883,8523718,9018819,9550181,11064218
21060,"Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)",5939236,5997132,6301897,6357914,6954619,7499866
21140,"Elkhart-Goshen, IN (Metropolitan Statistical Area)",16441996,16645083,16329118,16099107,18881979,21094129
21300,"Elmira, NY (Metropolitan Statistical Area)",3691136,3826539,3917758,3784551,4050970,4336930
21340,"El Paso, TX (Metropolitan Statistical Area)",30409532,32275221,34106395,34444083,38688429,43283173
21420,"Enid, OK (Metropolitan Statistical Area)",2849100,2901868,2885392,2697469,3091290,3318617
21500,"Erie, PA (Metropolitan Statistical Area)",11500326,11844098,12186266,11768922,12328704,13170571
21660,"Eugene-Springfield, OR (Metropolitan Statistical Area)",15867405,16645391,17081708,17483746,19587114,20912752
21780,"Evansville, IN-KY (Metropolitan Statistical Area)",17861300,19061881,20091030,18785163,22531658,25277686
21820,"Fairbanks, AK (Metropolitan Statistical Area)",5765988,5834518,5979009,5862412,6412251,6803651
22020,"Fargo, ND-MN (Metropolitan Statistical Area)",14963357,15377521,16097334,15931879,17464735,18792230
22140,"Farmington, NM (Metropolitan Statistical Area)",5756828,5760914,5817136,5280443,5853289,6594152
22180,"Fayetteville, NC (Metropolitan Statistical Area)",20429752,21149051,22143132,22722169,24601958,25960429
22220,"Fayetteville-Springdale-Rogers, AR (Metropolitan Statistical Area)",26264981,27465211,28688437,30359863,34341617,37748740
22380,"Flagstaff, AZ (Metropolitan Statistical Area)",7898455,8077292,8047913,7473214,8329374,9080290
22420,"Flint, MI (Metropolitan Statistical Area)",15931552,16519873,17099054,16134835,16872504,17635437
22500,"Florence, SC (Metropolitan Statistical Area)",9628359,9880602,10254771,10209440,11050747,11807247
22520,"Florence-Muscle Shoals, AL (Metropolitan Statistical Area)",5105162,5367314,5449016,5457506,5960608,6540232
22540,"Fond du Lac, WI (Metropolitan Statistical Area)",5100413,5293790,5504907,5371463,5698341,6203445
22660,"Fort Collins, CO (Metropolitan Statistical Area)",18593761,19835969,21229906,21739106,24027090,25922906
22900,"Fort Smith, AR-OK (Metropolitan Statistical Area)",9252836,9686127,10061006,10154236,11004826,12023877
23060,"Fort Wayne, IN (Metropolitan Statistical Area)",22444587,23798311,24357387,22942639,25608284,28564762
23420,"Fresno, CA (Metropolitan Statistical Area)",42568888,44516333,46666365,46980382,51719474,55426932
23460,"Gadsden, AL (Metropolitan Statistical Area)",3095515,3191348,3203226,3040945,3241061,3489358
23540,"Gainesville, FL (Metropolitan Statistical Area)",14483506,15282899,16008267,16566347,18233818,19655180
23580,"Gainesville, GA (Metropolitan Statistical Area)",10517593,11240762,11827027,12410387,13459885,15263566
23900,"Gettysburg, PA (Metropolitan Statistical Area)",4038383,4016825,4026340,3908952,4221991,4428842
24020,"Glens Falls, NY (Metropolitan Statistical Area)",6115481,6245365,6776317,6794424,7428243,8033710
24140,"Goldsboro, NC (Metropolitan Statistical Area)",4893997,4973001,5093715,5094730,5619779,6048896
24220,"Grand Forks, ND-MN (Metropolitan Statistical Area)",5409304,5542611,5728061,5713998,6171164,6580435
24260,"Grand Island, NE (Metropolitan Statistical Area)",4050138,4176787,4303425,4385346,5050255,5387118
24300,"Grand Junction, CO (Metropolitan Statistical Area)",6404009,6815501,7102508,7032034,7615132,8217566
24340,"Grand Rapids-Kentwood, MI (Metropolitan Statistical Area)",58890732,61833918,63484305,63946591,70431636,77296494
24420,"Grants Pass, OR (Metropolitan Statistical Area)",2650085,2821497,3077297,3122711,3437966,3657801
24500,"Great Falls, MT (Metropolitan Statistical Area)",3715757,3903335,3915205,3930708,4283429,4781280
24540,"Greeley, CO (Metropolitan Statistical Area) *",18534036,21993338,21590835,17658274,23571836,27344358
24580,"Green Bay, WI (Metropolitan Statistical Area)",20005038,21034557,21532513,21413364,22649189,24564859
24660,"Greensboro-High Point, NC (Metropolitan Statistical Area)",41215571,42186533,42834632,42170992,45335977,49028583
24780,"Greenville, NC (Metropolitan Statistical Area)",9658131,9552881,9666885,9681025,10290812,10920663
24860,"Greenville-Anderson, SC (Metropolitan Statistical Area)",43798842,46398619,48229594,48061090,51973174,57403426
25060,"Gulfport-Biloxi, MS (Metropolitan Statistical Area)",17329568,17807159,18316275,18351914,20800858,23511141
25180,"Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)",11326919,11908350,12012100,11718965,13030033,13990345
25220,"Hammond, LA (Metropolitan Statistical Area)",4086210,4261035,4545957,4463921,4969998,5446545
25260,"Hanford-Corcoran, CA (Metropolitan Statistical Area)",6443298,6425036,6669073,6935198,7513969,8145669
25420,"Harrisburg-Carlisle, PA (Metropolitan Statistical Area)",38684588,40241497,42291785,41121921,44657386,47815097
25500,"Harrisonburg, VA (Metropolitan Statistical Area) *",7664982,7941493,8262587,8087108,9064730,10225778
25540,"Hartford-East Hartford-Middletown, CT (Metropolitan Statistical Area)",100616750,102935078,105085605,100007792,106124629,114887291
25620,"Hattiesburg, MS (Metropolitan Statistical Area)",6262313,6385831,6414784,6479773,7312754,7900675
25860,"Hickory-Lenoir-Morganton, NC (Metropolitan Statistical Area)",15103484,15206121,15441842,15418495,16580294,18281197
25940,"Hilton Head Island-Bluffton, SC (Metropolitan Statistical Area)",8876622,9542421,10148721,10736520,11647263,12496907
25980,"Hinesville, GA (Metropolitan Statistical Area)",3790848,3942227,4041905,4022017,4547370,4768415
26140,"Homosassa Springs, FL (Metropolitan Statistical Area)",3704389,3983181,4354309,4512626,5094022,5663913
26300,"Hot Springs, AR (Metropolitan Statistical Area)",3297461,3448231,3591720,3654049,3915834,4199837
26380,"Houma-Thibodaux, LA (Metropolitan Statistical Area)",9241061,9806037,9897114,9190469,9743559,10812415
26420,"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",470676136,507443675,504983674,492800819,557853889,633184566
26580,"Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area)",14669576,16114063,16324671,14860950,16322801,18045678
26620,"Huntsville, AL (Metropolitan Statistical Area)",27520607,29062099,31171606,32241176,34924402,38100939
26820,"Idaho Falls, ID (Metropolitan Statistical Area)",7361547,8265565,9327382,9651684,10333567,11247952
26900,"Indianapolis-Carmel-Anderson, IN (Metropolitan Statistical Area)",135881902,143663365,150175534,151052594,167265961,184394385
26980,"Iowa City, IA (Metropolitan Statistical Area)",10820185,11182212,11325965,11179950,11987636,12900047
27060,"Ithaca, NY (Metropolitan Statistical Area)",6140234,6312334,6572654,6176950,6607366,7273599
27100,"Jackson, MI (Metropolitan Statistical Area)",5986766,6434246,6828304,6765666,7586504,7989981
27140,"Jackson, MS (Metropolitan Statistical Area)",27649880,28254068,28712052,29177444,31538307,34043360
27180,"Jackson, TN (Metropolitan Statistical Area)",8258298,8513025,8750992,8756922,9870144,10814137
27260,"Jacksonville, FL (Metropolitan Statistical Area)",80341696,84798041,90195722,93608181,104479838,117162018
27340,"Jacksonville, NC (Metropolitan Statistical Area)",8335011,8633739,8994430,9313275,10183046,10736986
27500,"Janesville-Beloit, WI (Metropolitan Statistical Area)",6935931,7427067,7833705,7958487,8526813,9277006
27620,"Jefferson City, MO (Metropolitan Statistical Area)",7593521,7852973,8465432,8431867,8663494,9697576
27740,"Johnson City, TN (Metropolitan Statistical Area)",7311684,7602520,7990926,8246505,9215823,9942621
27780,"Johnstown, PA (Metropolitan Statistical Area)",4692840,4802374,4888192,4929486,5184801,5499416
27860,"Jonesboro, AR (Metropolitan Statistical Area)",5105989,5334825,5660388,5865729,6673099,7015801
27900,"Joplin, MO (Metropolitan Statistical Area)",7558956,7837751,7918614,7731904,8503794,9406740
27980,"Kahului-Wailuku-Lahaina, HI (Metropolitan Statistical Area)",9606468,10424586,10962712,9057393,10477537,11649377
28020,"Kalamazoo-Portage, MI (Metropolitan Statistical Area)",13678676,14799785,15535672,15951461,17417792,18785711
28100,"Kankakee, IL (Metropolitan Statistical Area)",5940652,6477395,6500422,6489551,7525573,8319646
28140,"Kansas City, MO-KS (Metropolitan Statistical Area)",133753933,138895330,145193939,145306052,155136770,169501437
28420,"Kennewick-Richland, WA (Metropolitan Statistical Area)",14688220,15513130,16396482,16440914,18227998,19552976
28660,"Killeen-Temple, TX (Metropolitan Statistical Area)",18366880,18965025,19747486,20517414,22362452,24104514
28700,"Kingsport-Bristol, TN-VA (Metropolitan Statistical Area) *",13292994,13950447,13832581,14082593,15933034,17596167
28740,"Kingston, NY (Metropolitan Statistical Area)",7233714,7502171,8008639,7788867,8298425,9052826
28940,"Knoxville, TN (Metropolitan Statistical Area)",43011276,44921630,46773085,47941533,53454379,58892855
29020,"Kokomo, IN (Metropolitan Statistical Area)",4279358,4417242,4443858,4220848,4500107,5078730
29100,"La Crosse-Onalaska, WI-MN (Metropolitan Statistical Area)",7962972,8269702,8606805,8504697,9097236,9692924
29180,"Lafayette, LA (Metropolitan Statistical Area)",21115560,22420851,22550728,21789609,23237665,24995703
29200,"Lafayette-West Lafayette, IN (Metropolitan Statistical Area)",11076645,11919393,12199232,11727421,12551389,14002358
29340,"Lake Charles, LA (Metropolitan Statistical Area)",16643123,17720562,17690285,13517296,16200113,18573674
29420,"Lake Havasu City-Kingman, AZ (Metropolitan Statistical Area)",5323399,5569874,5920971,6206244,7135173,7714869
29460,"Lakeland-Winter Haven, FL (Metropolitan Statistical Area)",25742485,27092267,28692157,30037406,33629834,37305232
29540,"Lancaster, PA (Metropolitan Statistical Area)",28779773,29902188,30856190,30157425,33061440,36311941
29620,"Lansing-East Lansing, MI (Metropolitan Statistical Area)",25569757,26531002,27384248,27893635,29977870,32633108
29700,"Laredo, TX (Metropolitan Statistical Area)",11313473,11655026,11697830,10645761,13473454,17010397
29740,"Las Cruces, NM (Metropolitan Statistical Area)",7305489,7605805,8058986,7952700,8779723,9336449
29820,"Las Vegas-Henderson-Paradise, NV (Metropolitan Statistical Area)",116332382,125512670,134303884,124127270,141958382,160727901
29940,"Lawrence, KS (Metropolitan Statistical Area)",4987674,5225762,5370429,5399092,5777454,6176139
30020,"Lawton, OK (Metropolitan Statistical Area)",5191990,5266313,5476583,5460003,5875614,6198323
30140,"Lebanon, PA (Metropolitan Statistical Area)",5749659,5963087,6090069,6034698,6762895,7510378
30300,"Lewiston, ID-WA (Metropolitan Statistical Area)",2618835,2672138,2886105,3000045,3279736,3640528
30340,"Lewiston-Auburn, ME (Metropolitan Statistical Area)",4503370,4798796,5015487,5355063,5651673,6001437
30460,"Lexington-Fayette, KY (Metropolitan Statistical Area)",28671245,29894539,31089489,30567978,32589709,35670220
30620,"Lima, OH (Metropolitan Statistical Area)",7711921,8485619,8011028,7809946,9444962,10789408
30700,"Lincoln, NE (Metropolitan Statistical Area)",19552170,20396159,21243115,21751559,23146265,25458730
30780,"Little Rock-North Little Rock-Conway, AR (Metropolitan Statistical Area)",36515427,37930385,39112469,40263938,43636989,47322282
30860,"Logan, UT-ID (Metropolitan Statistical Area)",5665636,6265488,6555652,6789710,7502206,8009135
30980,"Longview, TX (Metropolitan Statistical Area)",14585371,15844034,15631333,14514417,17025461,20258872
31020,"Longview, WA (Metropolitan Statistical Area)",4700051,5026393,5474453,5653568,6176501,6626368
31080,"Los Angeles-Long Beach-Anaheim, CA (Metropolitan Statistical Area)",965279922,1011441224,1064220158,1035126052,1136104564,1227469203
31140,"Louisville/Jefferson County, KY-IN (Metropolitan Statistical Area)",70802465,73119138,77480076,77584542,83768943,90835739
31180,"Lubbock, TX (Metropolitan Statistical Area)",13659578,14329581,15036533,15523398,16792969,18116161
31340,"Lynchburg, VA (Metropolitan Statistical Area) *",10060609,10700973,10965168,10787241,11597472,12464078
31420,"Macon-Bibb County, GA (Metropolitan Statistical Area)",10845986,11285309,11351033,10813900,11926266,12760392
31460,"Madera, CA (Metropolitan Statistical Area)",6023623,6077794,6394382,6508219,7304127,7737581
31540,"Madison, WI (Metropolitan Statistical Area)",47412823,50086353,52436023,52373929,56816143,60909109
31700,"Manchester-Nashua, NH (Metropolitan Statistical Area)",25959140,26917908,28054766,28630602,32576917,34533202
31740,"Manhattan, KS (Metropolitan Statistical Area)",7189918,7282822,7206377,7385591,7974737,8456739
